email,username,is_admin,createdAt,updatedAt,image,address
sample1@gmail.com,sample01,true,Tue May 13 2025 17:38:03 GMT+0530 (India Standard Time),Tue May 13 2025 17:38:03 GMT+0530 (India Standard Time),undefined,undefined
dfdhdfjgy,tfgjfyjgk,false,Tue May 13 2025 18:32:36 GMT+0530 (India Standard Time),Tue May 13 2025 18:32:36 GMT+0530 (India Standard Time),undefined,undefined
ajay@gmail.com,ajay01,true,Wed May 14 2025 11:43:20 GMT+0530 (India Standard Time),Wed May 14 2025 11:43:20 GMT+0530 (India Standard Time),undefined,undefined
myemail@gmail.com,my01,false,Wed May 14 2025 11:44:42 GMT+0530 (India Standard Time),Wed May 14 2025 11:44:42 GMT+0530 (India Standard Time),undefined,undefined
rahul123@gmail.com,rahul01,true,Wed May 14 2025 11:47:44 GMT+0530 (India Standard Time),Wed May 14 2025 11:47:44 GMT+0530 (India Standard Time),undefined,undefined
dhjkhfjfb@gmail.com,jamer344,true,Wed May 14 2025 11:48:26 GMT+0530 (India Standard Time),Wed May 14 2025 11:48:26 GMT+0530 (India Standard Time),undefined,undefined
rahul578@gmail.com,rahul67,true,Wed May 14 2025 11:50:44 GMT+0530 (India Standard Time),Wed May 14 2025 11:50:44 GMT+0530 (India Standard Time),undefined,undefined
kkkkkk,kkkkk,false,Wed May 14 2025 11:55:58 GMT+0530 (India Standard Time),Wed May 14 2025 11:55:58 GMT+0530 (India Standard Time),undefined,undefined
ajeet@gmail.com,ajeetl67,true,Wed May 14 2025 12:09:10 GMT+0530 (India Standard Time),Wed May 14 2025 12:09:10 GMT+0530 (India Standard Time),undefined,undefined
random567@gmail.com,raha,false,Wed May 14 2025 17:39:22 GMT+0530 (India Standard Time),Wed May 14 2025 17:39:22 GMT+0530 (India Standard Time),undefined,undefined
raghav@gmail.com,r1234,false,Fri May 16 2025 15:41:53 GMT+0530 (India Standard Time),Fri May 16 2025 15:41:53 GMT+0530 (India Standard Time),pexels-photo-459203-1747291899064.jpeg,Mohali
